AGENT  1
VARIABLE  0  1  3
VARIABLE  1  1  3
VARIABLE  2  1  3
VARIABLE  3  1  3
VARIABLE  4  1  3
VARIABLE  5  1  3
VARIABLE  6  1  3
VARIABLE  7  1  3
VARIABLE  8  1  3
VARIABLE  9  1  3
CONSTRAINT  0  7
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  1  2
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  8  7
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  2  3
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  3  4
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  4  5
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  5  6
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  2  7
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  2  9
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  3  6
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  4  6
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  0  9
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  0  1
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  9  8
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
CONSTRAINT  2  5
F    0  0  1
F    0  1  0
F    0  2  0
F    1  0  0
F    1  1  1
F    1  2  0
F    2  0  0
F    2  1  0
F    2  2  1
